Character,Relationship Type,Target Character
Harry,arrives,Stonewall High
Nicolas Flamel,sparking,Stone
Harry,arrives,Ron Weasley
Ron,shared,Snape
Dumbledore,arrives,Hagrid
Harry,arrives,Aunt Petunia
Harry,arrives,Cross Station
Harry,arrives,Nicolas Flamel
Ron,shared,Argus Filch
Hagrid,arrives,Fluffy
Harry,arrives,Professor Quirrell
Hermione,joins,Filch
Ron,shared,Hermione
Hagrid,arrives,Dudley
Cross Station,mock,Platform Nine
Hagrid,arrives,Uncle Vernon
Ron,shared,Stone
Harry,arrives,Midnight
Hagrid,arrives,Ron
Professor,scolds,Snape
Ron,shared,Gryffindor
Lily,s,Hagrid
Privet Drive,lives,Harry
Dudley,growing,Aunt Petunia
Hagrid,arrives,Snape
Gryffindor,hoping,Hidden
Mr. Dursley,lives,Harry Potter
Professor Sprout,scolds,Devil
Mr. Ollivander,lives,Harry
Professor,scolds,Malfoy
Voldemort,s,Lily
Professor Quirrell,scolds,Fluffy
Dumbledore,arrives,Professor McGonagall
Hagrid,arrives,Malfoy
Mr. Ollivander,lives,Hagrid
Hagrid,arrives,Hogwarts
Harry,arrives,Dudley
Harry,arrives,Malkin
Afterward,addresses,Percy
Harry,arrives,Hermione
Harry,arrives,Flamel
Hermione,joins,Snape
Harry,arrives,Uncle Vernon
Harry,arrives,Hagrid
Harry,arrives,Brazil
Harry,arrives,Ron
Voldemort,s,Hagrid
Harry,arrives,Gryffindor
Malfoy,offers,Neville
Ron,shared,Leviosa
Harry,arrives,Snape
Professor Quirrell,scolds,Slytherin
Harry,arrives,Griphook
Harry,arrives,Slytherin
Mr. Dursley,lives,Potter
Ron,shared,Filch
Stone,turn,Firenze
Professor McGonagall,scolds,Voldemort
Hagrid,arrives,Ravenclaw
Dudley,growing,Uncle Vernon
Snape,causes,Fluffy
Ron,shared,Hermione Granger
Aunt Petunia,wakes,Uncle Vernon
Harry,arrives,Malfoy
Snape,causes,Stone
Professor Quirrell,scolds,Voldemort
Harry,arrives,Oliver Wood
Argus Filch,begin,Astronomy
Harry,arrives,Voldemort
Harry,arrives,Hogwarts
Fluffy,s,Stone
Hagrid,arrives,Nicolas Flamel
Voldemort,s,Stone
Ron,shared,Charlie
Harry,arrives,Draco Malfoy
Firenze,rescues,Ronan
Harry,arrives,Firenze
Harry,arrives,Afterward
