Sentence,Rating
"The year ends joyously, and Harry returns to the Muggle world with the knowledge that he has true friends at Hogwarts and that his adventures are just beginning.

",1.0
"After a long journey, they reach Hogwarts, where Hagrid leads the first-year students across a lake with small boats, offering them their first magical view of the castle.

",1.0
Hagrid describes Harry’s fame in the magical world.,1.0
Hagrid reassures Harry by reminding him of unusual incidents.,1.0
"Griphook takes them to Harry’s vault, which contains gold.",1.0
"On the train, he meets Ron Weasley, and they bond over wizard treats and shared experiences.",1.0
Dumbledore mentions Harry’s survival.,1.0
"Harry learns about Hogwarts houses, Quidditch, and the wizarding world from Ron. Hermione Granger, a Muggle-born with an impressive knowledge of magic, joins briefly.
",1.0
"Professor McGonagall leads the first-year students into Hogwarts, where they experience the awe of the Great Hall, enchanted ceiling, and the Sorting Ceremony.",1.0
"Professor McGonagall notices Harry’s natural talent and recruits him to join the Gryffindor Quidditch team as a Seeker, making him the youngest team member in a century.
",1.0
"He joins the Gryffindor table, where he meets other students and enjoys a feast with delicious food and desserts.",1.0
"Percy, a Gryffindor prefect, leads the first years to the common room, introducing them to Peeves the poltergeist along the way.",1.0
Mr. Dursley listens to the news.,1.0
Harry feels happy at the zoo.,1.0
"Harry receives an invitation to tea with Hagrid, which he and Ron eagerly accept.",1.0
An old man in a cloak hugs Mr. Dursley.,1.0
Hagrid explains Voldemort’s history and actions.,1.0
Harry learns about his parents’ magical background.,1.0
"The letter confirms Harry’s acceptance at Hogwarts.
",1.0
Hagrid reveals that Harry is a wizard.,1.0
Hagrid gives Harry a birthday cake.,1.0
The sun lights the front gardens.,1.0
The sun shines on number four.,1.0
Hagrid greets Harry warmly.,1.0
"He receives an invitation to attend Hogwarts School of Witchcraft and Wizardry, which changes his life forever.",1.0
Uncle Vernon feels confident about avoiding letters.,1.0
The family continues driving.,1.0
Uncle Vernon boards up the house.,1.0
Aunt Petunia cries with pride.,1.0
Uncle Vernon praises Dudley’s appearance.,1.0
The table holds Dudley’s birthday gifts.,1.0
Dudley counts his presents.,1.0
The snake thanks Harry as it leaves.,1.0
"When Malfoy taunts Neville and steals his Remembrall, Harry pursues him on a broom, impressing everyone with his flying skills.",1.0
"Classes begin with Astronomy, Herbology, Charms, and Transfiguration, each introducing them to the complexities of magic.",1.0
"**Hagrid**, the gentle giant, introduces Harry to the magical world.",1.0
"Each of these plot points is crucial to the development of the characters and the overall storyline, showcasing the magic, mystery, and adventure that define the **Harry Potter** series.

",1.0
"Harry is introduced to **Quidditch**, the magical sport played on flying broomsticks.",1.0
"He becomes the youngest Seeker in a century, and his first match is filled with thrilling moments, including a dangerous encounter with a rogue Bludger.

",1.0
They agree to meet Charlie’s friends in the highest tower at midnight.,1.0
"This dark forest is home to creatures both magical and dangerous, setting the stage for future adventures.

",1.0
"Dumbledore shares insights on love, courage, and the nature of death and tells Harry that Voldemort will likely attempt to return again someday.
",1.0
"The excitement of traveling to Hogwarts for the first time, with a mix of awe and wonder, is a memorable moment in the book.

",1.0
"Hagrid confirms this when they visit him, explaining that he won it in a card game.",1.0
"During his first session, Harry learns the rules and structure of Quidditch from team captain Oliver Wood, who’s thrilled with Harry’s skill.
",1.0
"From the moment he bursts into the hut on Harry's birthday to deliver the letter, Hagrid becomes a key protector and guide for Harry in his new life as a wizard.

",1.0
"The moment Harry boards the Hogwarts Express and meets Ron and Hermione, he enters a new world of magic and adventure.",1.0
"He sees himself with his deceased parents, a heart-wrenching yet magical moment that gives Harry a glimpse into his longing for family and connection.

",1.0
"The chapter concludes with Gryffindor winning the House Cup after Dumbledore awards last-minute points to Harry, Ron, Hermione, and Neville for their bravery.",1.0
"To his relief, Dumbledore shows up to watch the match, providing a sense of safety.",1.0
"However, he finds comfort in Dumbledore’s presence and strength.
",1.0
"Harry and his friends, Ron and Hermione, uncover the secret of the **Philosopher's Stone**, a magical object that can grant immortality.",1.0
"As Christmas approaches, Hogwarts is transformed by snow, festive decorations, and the students’ excitement.",1.0
"With control of his broom restored, Harry spots and catches the Golden Snitch, securing Gryffindor’s victory despite some controversy over his near-swallowing of the Snitch.
",1.0
"Harry and his teammates train intensely, and Wood keeps Harry’s skills a secret, hoping he’ll be a surprise asset for Gryffindor.
",1.0
"He’s nervous, but the support from friends like Hermione, who provides a charm to warm them during breaks and helps with homework, keeps him going.",1.0
"The mysterious letter marks the beginning of his magical journey.

",1.0
"From this experience, the three form a strong friendship, realizing that some bonds are unbreakable when facing danger together.

",1.0
McGonagall deducts points from Gryffindor for Hermione’s actions but also rewards Harry and Ron for their bravery.,1.0
"Through bravery and quick thinking, they manage to knock out the troll, with Ron using the “Wingardium Leviosa” spell.
",1.0
"Ultimately, he is sorted into Gryffindor, marking the start of his magical education and friendships.

",1.0
Mrs. Figg watches Harry for the day.,0.9990000000000001
"Dudley’s gang influences the other students.

",0.9990000000000001
Harry recalls strange dreams of green light.,0.9990000000000001
"As Halloween approaches, Harry and Ron continue enjoying their time at Hogwarts, speculating about the mysterious package under the three-headed dog’s protection.",0.9990000000000001
"Harry returns to Gryffindor Tower, shaken by the knowledge that Voldemort might be nearby.",0.9990000000000001
Harry listens to Hagrid’s explanation.,0.9990000000000001
"Malfoy finds out about the dragon, which puts Harry, Ron, and Hermione on edge.",0.9990000000000001
"Harry quickly catches the Snitch, securing Gryffindor’s win, but afterward, he sees Snape sneaking into the Forbidden Forest and follows him.",0.9990000000000001
Hagrid assures Harry about his parents’ money.,0.9990000000000001
"On his third night, Dumbledore finds him and explains that the Mirror of Erised reveals a person’s most desperate desires, cautioning Harry not to dwell on dreams.",0.9990000000000001
"Hermione and Ron realize that Snape is casting a spell on Harry’s broom, so Hermione sets Snape’s robes on fire, which breaks the jinx.",0.9990000000000001
A raucous school song concludes the evening.,0.9990000000000001
"On Harry’s first day of classes, whispers about him spread throughout the school.",0.9990000000000001
"Navigating Hogwarts proves challenging, with its moving staircases, trick doors, and poltergeist Peeves causing trouble.",0.9990000000000001
The snake winks at Harry.,0.9990000000000001
"

Harry, a seemingly ordinary boy, discovers on his 11th birthday that he is a wizard.",0.9990000000000001
Hagrid arrives with baby Harry.,0.9990000000000001
The Dursleys talk about plans for Dudley’s birthday.,0.9990000000000001
Aunt Petunia reminds Harry about Dudley’s birthday.,0.9990000000000001
Harry remembers his dream about a flying motorcycle.,0.9990000000000001
Aunt Petunia wakes Harry.,0.9990000000000001
Photographs show Dudley growing up.,0.9990000000000001
Dumbledore restores the street lights.,0.9990000000000001
"Aunt Petunia promises two more presents.
",0.9990000000000001
"This mysterious creature leads them to uncover a dark secret about the school and its connection to the Philosopher's Stone.

",0.9990000000000001
"Hagrid insists that Snape would never try to harm a student, especially to steal what “Fluffy” (Hagrid’s three-headed dog) is guarding.",0.998
Dumbledore places Harry on the Dursleys’ doorstep.,0.998
"Hermione solves the potion riddle, and Harry alone proceeds through the black flames to the final room, expecting to face Snape.
",0.998
Aunt Petunia reacts with shock.,0.998
Uncle Vernon moves Harry to Dudley’s second bedroom.,0.998
"In this chapter, the mystery surrounding the Sorcerer’s Stone continues as the trio notices Quirrell’s deteriorating condition, but they also observe that he hasn’t betrayed its secrets to Snape yet.",0.998
"Harry discovers the **Mirror of Erised**, which shows the deepest desires of his heart.",0.998
"Though unsure if Dumbledore is truthful, Harry begins to understand the mirror’s dangers and its hold over him.

",0.998
Hagrid tells Harry about his parents’ death.,0.998
"After the game, Hagrid is shocked when Harry, Ron, and Hermione confront him about Snape’s intentions.",0.998
"Hagrid prepares for Harry’s first trip to Hogwarts.

",0.998
Harry wakes up early and believes the previous day was a dream.,0.998
Hagrid takes Harry to London to shop for school supplies.,0.998
"When Harry returns with Ron, the mirror reveals Ron’s own deepest desire: to be Gryffindor’s head boy and Quidditch captain.",0.998
Hagrid buys Harry an owl as a birthday present.,0.998
Dumbledore sees Professor McGonagall.,0.998
"On Halloween, the students enjoy the festivities until Professor Quirrell bursts into the Great Hall, announcing that a troll has entered the dungeons.",0.998
"Harry buys robes, books, a cauldron, and other magical items.",0.998
The giant introduces himself as Hagrid.,0.998
The snake and Harry communicate through gestures.,0.998
Dudley shows off his new uniform.,0.997
Harry learns he will attend Stonewall High.,0.997
The Dursleys decide to take Harry to the zoo.,0.997
"Harry, who stays at school, receives presents for the first time, including a mysterious invisibility cloak that once belonged to his father.",0.997
Harry visits Ollivanders to purchase a wand.,0.997
Letters reach Harry at the hotel.,0.997
"Harry felt relief to be out of his cupboard.
",0.996
